Název programu;Název oboru;Jazyk výuky;Alias
Učitelství pro základní školy;Učitelství matematiky pro 2. stupeň základních škol;Česky;['M-VT/ZŠ, Učitelství matematiky pro 2. stupeň ZŠ, společný základ', 'Učitelství matematiky pro 2. stupeň ZŠ, Učitelství zeměpisu pro 2. stupeň ZŠ, společný základ', 'M-OV/ZŠ, Učitelství matematiky pro 2. stupeň ZŠ, společný základ', 'M-Př/ZŠ', 'Mn-Fyn', 'Mn-Zn', 'M-Z/ZŠ', 'Mn-NJn', 'Mn-TVZn', 'Mn-Chn', 'HVan-Mn', 'Mn-Inn', 'Mn-ČJn', 'Mn-Dn', 'M-OV/ZŠ', 'M-VT/ZŠ', 'M-TVT/ZŠ', 'M-TV/ZŠ', 'Mn-VKZn', 'Mn-AJn', 'Mn-TVn', 'Mn-OVn', 'M-F/ZŠ', 'Mn-OVan', 'Mn-TchVn', 'Mn-Přn', 'HVan-Man']
Učitelství pro základní školy;Učitelství německého jazyka pro 2. stupeň základních škol;Česky;['NJn-HVan', 'FJ-NJ/ZŠ', 'NJ-HV/ZŠ', 'Mn-NJn', 'ČJn-NJn', 'NJn-OVan', 'NJn-HVn', 'NJ-OV/ZŠ', 'NJn-Přn', 'NJn-Zn', 'NJn-OVn', 'AJ-NJ/ZŠ', 'AJn-NJn']
Učitelství pro základní školy;Učitelství občanské výchovy pro 2. stupeň základních škol;Česky;['M-OV/ZŠ, Učitelství matematiky pro 2. stupeň ZŠ, společný základ', 'FJ-OV/ZŠ', 'VVn-OVn', 'M-OV/ZŠ', 'ČJn-OVn', 'ČJ-OV/ZŠ', 'NJ-OV/ZŠ', 'AJ-OV/ZŠ', 'VV-OV/ZŠ, společný základ', 'Zn-OVn', 'ŠJ-OV/ZŠ', 'AJn-OVn', 'Mn-OVn', 'NJn-OVn', 'VV-OV/ZŠ', 'Z-OV/ZŠ']
Učitelství pro základní školy;Učitelství pro 1. stupeň základních škol;Česky;['Učitelství pro 1. stupeň základních škol', 'Informační a komunikační technologie, Učitelství pro 1. stupeň základních škol', 'Učitelství pro 1. stupeň ZŠ', 'Hudební výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň základních škol', 'Informační a komunikační technologie - certifikát, Učitelství pro 1. stupeň základních škol']
Učitelství pro základní školy;Učitelství pro 1. stupeň základních škol;Česky;['Učitelství pro 1. stupeň základních škol', 'Informační a komunikační technologie, Učitelství pro 1. stupeň základních škol', 'Učitelství pro 1. stupeň ZŠ', 'Hudební výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň základních škol', 'Informační a komunikační technologie - certifikát, Učitelství pro 1. stupeň základních škol']
Učitelství pro základní školy;Učitelství pro 1. stupeň základních škol-anglický jazyk pro 1. stupeň základní škol;Česky;['Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ, Výtvarná výchova pro 1. stupeň ZŠ', 'Hudební výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ', 'Informační a komunikační technologie - certifikát, Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ', 'Tělesná výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ', 'Informační a komunikační technologie - certifikát, Tělesná výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ']
Učitelství pro základní školy;Učitelství pro 1. stupeň základních škol-německý jazyk pro 1. stupeň základní škol;Česky;['Tělesná výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - německý jazyk pro 1. stupeň ZŠ', 'Hudební výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - německý jazyk pro 1. stupeň ZŠ']
Učitelství pro základní školy;Učitelství španělského jazyka pro 2. stupeň základních škol;Česky;['ČJn-ŠJn', 'ŠJ-Z/ZŠ', 'ČJ-ŠJ/ZŠ', 'ŠJ-VV/ZŠ', 'ŠJ-FJ/ZŠ', 'AJn-ŠJn', 'AJ-ŠJ/ZŠ', 'ŠJn-Inn', 'ŠJ-OV/ZŠ']
Učitelství pro základní školy;Učitelství technické výchovy a výpočetní techniky pro 2. stupeň základních škol;Česky;['TchVn-OVan', 'F-VTE/ZŠ, F-Ch/ZŠ', 'ZT-VT/ZŠ, společný základ', 'TchVn-TVZn', 'TchVn-Inn', 'F-TchV/ZŠ navazující-komb.', 'TchVn-AJn', 'TchVn-Dn', 'Mn-TchVn', 'Fyn-TchVn']
Učitelství pro základní školy;Učitelství tělesné výchovy pro 2. stupeň základních škol;Česky;ZT-TV/ZŠ, Učitelství tělesné výchovy pro 2. stupeň ZŠ, společný základ
