code,isPartOf,isPartOf2,institution,address,url,library-url
pamatnik_narodniho_pisemnictvi,museums,culture,"Památník národního písemnictví","Strahovské nádvoří 1/132, 118 38 Praha 1","http://www.pamatniknarodnihopisemnictvi.cz/","http://www.pamatniknarodnihopisemnictvi.cz/o-knihovne/"
parazitologicky_ustav,avcr,research,"Parazitologický ústav","Branišovská 1160/31, České Budějovice","http://www.paru.cas.cz/cs/",""
parlamentni_institut,null,gov,"Parlamentní institut","Sněmovní 3, 118 26 Praha 1","http://www.psp.cz/sqw/hp.sqw?k=40",""
prague_college,private_uni,edu,"Prague College","Polská 10, Vinohrady Praha 2","http://www.praguecollege.cz/",""
psychologicky_ustav,avcr,research,"Psychologický ústav","Veveří 97 ,  602 00 Brno","http://www.psu.cas.cz/","http://www.psu.cas.cz/library/"
sdruzeni_pro_integraci_a_migraci,ngo,other,"Sdružení pro integraci a migraci","Baranova 33, 130 00 Praha 3","http://www.migrace.com/",""
severoceske_muzeum_v_liberci,museums,culture,"Severočeské muzeum v Liberci","Masarykova 11, 460 01 Liberec 1","http://www.muzeumlb.cz/","http://www.muzeumlb.cz/?page=knihovna"
siriri,ngo,other,"SIRIRI o.p.s.","Vyšehradská 49/320, 128 00 Praha 2","https://siriri.org/",""
slezske_zemske_muzeum,museums,culture,"Slezské zemské muzeum","Nádražní okruh 31, Opava","http://www.szm.cz/","http://www.szm.cz/rubrika/98/ustredni-knihovna.html"
slovansky_ustav,avcr,research,"Slovanský ústav AV ČR, v. v. i.","Valentinská 1, 110 00 Praha 1","http://www.slu.cas.cz/","http://www.slu.cas.cz/2.html#k"
sociologicky_ustav,avcr,research,"Sociologický ústav","Jilská 1, 110 00 Praha 1","http://www.soc.cas.cz/","http://www.soc.cas.cz/knihovna/sluzby-kontakty"
surao,null,gov,"Správa úložišť radioaktivních odpadů","Dlážděná 6, 110 00 Praha 1","http://www.surao.cz/",""
szpi,null,gov,"Státní zemědělská a potravinářská inspekce","Květná 15, 603 00 Brno","http://www.szpi.gov.cz",""
technologicke_centrum,avcr,research,"Technologické centrum","Ve Struhách 27, 160 00 Praha 6 – Bubeneč","http://www.tc.cz/",""
ujep,public_uni,edu,"Univerzita Jana Evangelisty Purkyně","Pasteurova 3544/1, 400 96 Ústí nad Labem","https://www.ujep.cz/cs/",""
umeleckoprumyslove_museum,museums,culture,"Uměleckoprůmyslové museum","Ulice 17. listopadu 2, 110 00 Praha 1","http://www.upm.cz/","http://www.knihovna.upm.cz/"
univerzita_karlova_v_praze,public_uni,edu,"Univerzita Karlova","Ovocný trh 5, 116 36 Praha 1","http://cuni.cz/","https://dspace.cuni.cz/"
